Data,CAPiI_Al
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-05-09',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',4.0
'2020-05-10',7.0
'2020-05-11',7.0
'2020-05-12',6.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',3.0
'2020-04-09',3.0
'2020-04-10',3.0
'2020-04-11',3.0
'2020-04-12',3.0
'2020-04-13',3.0
'2020-04-14',3.0
'2020-04-15',3.0
'2020-04-16',3.0
'2020-04-17',3.0
'2020-04-18',3.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',2.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',4.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',5.0
'2020-04-22',5.0
'2020-04-23',7.0
'2020-04-24',13.0
'2020-04-25',15.0
'2020-04-26',15.0
'2020-04-27',18.0
'2020-04-28',22.0
'2020-04-29',23.0
'2020-04-30',26.0
'2020-05-01',26.0
'2020-05-02',27.0
'2020-05-03',29.0
'2020-05-04',29.0
'2020-05-05',29.0
'2020-05-06',29.0
'2020-05-07',30.0
'2020-05-08',30.0
'2020-05-09',30.0
'2020-05-10',30.0
'2020-05-11',30.0
'2020-05-12',30.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-03-28',9.0
'2020-03-29',12.0
'2020-03-30',14.0
'2020-03-31',16.0
'2020-04-01',16.0
'2020-04-02',17.0
'2020-04-03',18.0
'2020-04-04',19.0
'2020-04-05',20.0
'2020-04-06',20.0
'2020-04-07',24.0
'2020-04-08',24.0
'2020-04-09',31.0
'2020-04-10',32.0
'2020-04-11',33.0
'2020-04-12',36.0
'2020-04-13',41.0
'2020-04-14',47.0
'2020-04-15',63.0
'2020-04-16',77.0
'2020-04-17',86.0
'2020-04-18',94.0
'2020-04-19',112.0
'2020-04-20',122.0
'2020-04-21',136.0
'2020-04-22',150.0
'2020-04-23',156.0
'2020-04-24',179.0
'2020-04-25',204.0
'2020-04-26',223.0
'2020-04-27',237.0
'2020-04-28',277.0
'2020-04-29',284.0
'2020-04-30',321.0
'2020-05-01',383.0
'2020-05-02',420.0
'2020-05-03',458.0
'2020-05-04',485.0
'2020-05-05',540.0
'2020-05-06',580.0
'2020-05-07',653.0
'2020-05-08',697.0
'2020-05-09',733.0
'2020-05-10',755.0
'2020-05-11',786.0
'2020-05-12',847.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',6.0
'2020-05-01',8.0
'2020-05-02',12.0
'2020-05-03',16.0
'2020-05-04',17.0
'2020-05-05',21.0
'2020-05-06',21.0
'2020-05-07',21.0
'2020-05-08',21.0
'2020-05-09',23.0
'2020-05-10',23.0
'2020-05-11',26.0
'2020-05-12',26.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',7.0
'2020-05-06',9.0
'2020-05-07',9.0
'2020-05-08',9.0
'2020-05-09',10.0
'2020-05-10',10.0
'2020-05-11',11.0
'2020-05-12',17.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',2.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-12',2.0
'2020-05-04',1.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-03-20',3.0
'2020-03-21',4.0
'2020-03-22',4.0
'2020-03-23',6.0
'2020-03-24',6.0
'2020-03-25',8.0
'2020-03-26',9.0
'2020-03-27',9.0
'2020-03-28',11.0
'2020-03-29',14.0
'2020-03-30',16.0
'2020-03-31',18.0
'2020-04-01',18.0
'2020-04-02',19.0
'2020-04-03',21.0
'2020-04-04',22.0
'2020-04-05',23.0
'2020-04-06',23.0
'2020-04-07',28.0
'2020-04-08',31.0
'2020-04-09',38.0
'2020-04-10',40.0
'2020-04-11',41.0
'2020-04-12',44.0
'2020-04-13',50.0
'2020-04-14',58.0
'2020-04-15',75.0
'2020-04-16',91.0
'2020-04-17',102.0
'2020-04-18',123.0
'2020-04-19',145.0
'2020-04-20',158.0
'2020-04-21',186.0
'2020-04-22',206.0
'2020-04-23',217.0
'2020-04-24',256.0
'2020-04-25',297.0
'2020-04-26',331.0
'2020-04-27',364.0
'2020-04-28',408.0
'2020-04-29',454.0
'2020-04-30',513.0
'2020-05-01',600.0
'2020-05-02',665.0
'2020-05-03',742.0
'2020-05-04',784.0
'2020-05-05',875.0
'2020-05-06',949.0
'2020-05-07',1051.0
'2020-05-08',1131.0
'2020-05-09',1233.0
'2020-05-10',1278.0
'2020-05-11',1332.0
'2020-05-12',1443.0
