Data,CAPiB_Al
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',5.0
'2020-05-07',7.0
'2020-05-08',12.0
'2020-05-09',12.0
'2020-05-10',12.0
'2020-05-11',13.0
'2020-05-12',13.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-07',1.0
'2020-05-08',2.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-08',2.0
'2020-04-09',4.0
'2020-04-10',5.0
'2020-04-11',6.0
'2020-04-12',7.0
'2020-04-13',7.0
'2020-04-14',10.0
'2020-04-15',12.0
'2020-04-16',14.0
'2020-04-17',17.0
'2020-04-18',17.0
'2020-04-19',21.0
'2020-04-20',20.0
'2020-04-21',20.0
'2020-04-22',24.0
'2020-04-23',25.0
'2020-04-24',25.0
'2020-04-25',29.0
'2020-04-26',37.0
'2020-04-27',40.0
'2020-04-28',47.0
'2020-04-29',61.0
'2020-04-30',72.0
'2020-05-01',85.0
'2020-05-02',96.0
'2020-05-03',100.0
'2020-05-04',111.0
'2020-05-05',122.0
'2020-05-06',129.0
'2020-05-07',162.0
'2020-05-08',169.0
'2020-05-09',178.0
'2020-05-10',208.0
'2020-05-11',217.0
'2020-05-12',233.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',2.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',5.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',5.0
'2020-05-08',6.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',8.0
'2020-05-12',8.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',5.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',8.0
'2020-04-24',10.0
'2020-04-25',13.0
'2020-04-26',13.0
'2020-04-27',13.0
'2020-04-28',18.0
'2020-04-29',20.0
'2020-04-30',24.0
'2020-05-01',29.0
'2020-05-02',28.0
'2020-05-03',38.0
'2020-05-04',45.0
'2020-05-05',48.0
'2020-05-06',54.0
'2020-05-07',55.0
'2020-05-08',60.0
'2020-05-09',64.0
'2020-05-10',69.0
'2020-05-11',69.0
'2020-05-12',89.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',2.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',4.0
'2020-04-25',6.0
'2020-04-26',6.0
'2020-04-27',6.0
'2020-04-28',6.0
'2020-04-29',9.0
'2020-04-30',12.0
'2020-05-01',12.0
'2020-05-02',12.0
'2020-05-03',15.0
'2020-05-04',15.0
'2020-05-05',15.0
'2020-05-06',17.0
'2020-05-07',19.0
'2020-05-08',22.0
'2020-05-09',26.0
'2020-05-10',31.0
'2020-05-11',31.0
'2020-05-12',42.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',9.0
'2020-05-07',13.0
'2020-05-08',16.0
'2020-05-09',16.0
'2020-05-10',18.0
'2020-05-11',19.0
'2020-05-12',19.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-30',1.0
'2020-05-01',2.0
'2020-05-02',3.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',4.0
'2020-03-19',1.0
'2020-03-20',1.0
'2020-03-21',1.0
'2020-03-22',1.0
'2020-03-23',2.0
'2020-03-24',3.0
'2020-03-25',3.0
'2020-03-26',5.0
'2020-03-27',9.0
'2020-03-28',14.0
'2020-03-29',14.0
'2020-03-30',15.0
'2020-03-31',17.0
'2020-04-01',20.0
'2020-04-02',21.0
'2020-04-03',29.0
'2020-04-04',32.0
'2020-04-05',34.0
'2020-04-06',35.0
'2020-04-07',36.0
'2020-04-08',41.0
'2020-04-09',55.0
'2020-04-10',79.0
'2020-04-11',85.0
'2020-04-12',101.0
'2020-04-13',111.0
'2020-04-14',136.0
'2020-04-15',151.0
'2020-04-16',165.0
'2020-04-17',195.0
'2020-04-18',205.0
'2020-04-19',236.0
'2020-04-20',245.0
'2020-04-21',263.0
'2020-04-22',301.0
'2020-04-23',345.0
'2020-04-24',386.0
'2020-04-25',447.0
'2020-04-26',499.0
'2020-04-27',543.0
'2020-04-28',633.0
'2020-04-29',699.0
'2020-04-30',814.0
'2020-05-01',926.0
'2020-05-02',1034.0
'2020-05-03',1169.0
'2020-05-04',1219.0
'2020-05-05',1361.0
'2020-05-06',1493.0
'2020-05-07',1657.0
'2020-05-08',2031.0
'2020-05-09',2156.0
'2020-05-10',2341.0
'2020-05-11',2525.0
'2020-05-12',2777.0
