Data,CasosAcumulados_RN_Alberto
'2020-05-05',20.0
'2020-05-06',19.0
'2020-05-07',21.0
'2020-05-08',25.0
'2020-05-09',26.0
'2020-05-10',26.0
'2020-05-11',31.0
'2020-05-12',30.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-12',1.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',4.0
'2020-04-24',4.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',5.0
'2020-05-02',6.0
'2020-05-03',6.0
'2020-05-04',7.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',7.0
'2020-05-08',8.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',8.0
'2020-05-12',8.0
'2020-03-28',14.0
'2020-03-29',16.0
'2020-03-30',16.0
'2020-03-31',17.0
'2020-04-01',20.0
'2020-04-02',21.0
'2020-04-03',43.0
'2020-04-04',53.0
'2020-04-05',58.0
'2020-04-06',59.0
'2020-04-07',63.0
'2020-04-08',63.0
'2020-04-09',63.0
'2020-04-10',63.0
'2020-04-11',65.0
'2020-04-12',67.0
'2020-04-13',77.0
'2020-04-14',82.0
'2020-04-15',84.0
'2020-04-16',84.0
'2020-04-17',89.0
'2020-04-18',92.0
'2020-04-19',94.0
'2020-04-20',104.0
'2020-04-21',105.0
'2020-04-22',106.0
'2020-04-23',106.0
'2020-04-24',110.0
'2020-04-25',111.0
'2020-04-26',112.0
'2020-04-27',112.0
'2020-04-28',117.0
'2020-04-29',164.0
'2020-04-30',174.0
'2020-05-01',184.0
'2020-05-02',190.0
'2020-05-03',191.0
'2020-05-04',197.0
'2020-05-05',254.0
'2020-05-06',248.0
'2020-05-07',281.0
'2020-05-08',288.0
'2020-05-09',296.0
'2020-05-10',299.0
'2020-05-11',293.0
'2020-05-12',335.0
'2020-03-28',22.0
'2020-03-29',34.0
'2020-03-30',36.0
'2020-03-31',42.0
'2020-04-01',48.0
'2020-04-02',56.0
'2020-04-03',77.0
'2020-04-04',91.0
'2020-04-05',108.0
'2020-04-06',113.0
'2020-04-07',116.0
'2020-04-08',112.0
'2020-04-09',112.0
'2020-04-10',117.0
'2020-04-11',131.0
'2020-04-12',136.0
'2020-04-13',145.0
'2020-04-14',159.0
'2020-04-15',171.0
'2020-04-16',172.0
'2020-04-17',204.0
'2020-04-18',236.0
'2020-04-19',259.0
'2020-04-20',279.0
'2020-04-21',283.0
'2020-04-22',304.0
'2020-04-23',335.0
'2020-04-24',358.0
'2020-04-25',370.0
'2020-04-26',397.0
'2020-04-27',396.0
'2020-04-28',402.0
'2020-04-29',519.0
'2020-04-30',567.0
'2020-05-01',631.0
'2020-05-02',667.0
'2020-05-03',677.0
'2020-05-04',686.0
'2020-05-05',710.0
'2020-05-06',727.0
'2020-05-07',802.0
'2020-05-08',829.0
'2020-05-09',872.0
'2020-05-10',871.0
'2020-05-11',906.0
'2020-05-12',908.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',3.0
'2020-04-25',5.0
'2020-04-26',5.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',8.0
'2020-05-01',7.0
'2020-05-02',7.0
'2020-05-03',7.0
'2020-05-04',7.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',9.0
'2020-05-12',7.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-12',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',2.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',5.0
'2020-04-30',7.0
'2020-05-01',7.0
'2020-05-02',7.0
'2020-05-03',7.0
'2020-05-04',7.0
'2020-05-05',8.0
'2020-05-06',8.0
'2020-05-07',9.0
'2020-05-08',9.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',9.0
'2020-05-12',10.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',3.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',10.0
'2020-05-12',9.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',8.0
'2020-04-28',8.0
'2020-04-29',10.0
'2020-04-30',11.0
'2020-05-01',12.0
'2020-05-02',12.0
'2020-05-03',12.0
'2020-05-04',12.0
'2020-05-05',12.0
'2020-05-06',12.0
'2020-05-07',12.0
'2020-05-08',12.0
'2020-05-09',12.0
'2020-05-10',12.0
'2020-05-11',12.0
'2020-05-12',12.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',3.0
'2020-04-15',3.0
'2020-04-16',3.0
'2020-04-17',4.0
'2020-04-18',4.0
'2020-04-19',5.0
'2020-04-20',5.0
'2020-04-21',5.0
'2020-04-22',5.0
'2020-04-23',6.0
'2020-04-24',6.0
'2020-04-25',6.0
'2020-04-26',6.0
'2020-04-27',6.0
'2020-04-28',6.0
'2020-04-29',8.0
'2020-04-30',8.0
'2020-05-01',9.0
'2020-05-02',9.0
'2020-05-03',9.0
'2020-05-04',9.0
'2020-05-05',9.0
'2020-05-06',10.0
'2020-05-07',10.0
'2020-05-08',11.0
'2020-05-09',11.0
'2020-05-10',11.0
'2020-05-11',10.0
'2020-05-12',10.0
'2020-03-29',1.0
'2020-03-30',2.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',9.0
'2020-04-04',11.0
'2020-04-05',11.0
'2020-04-06',10.0
'2020-04-07',11.0
'2020-04-08',11.0
'2020-04-09',11.0
'2020-04-10',11.0
'2020-04-11',19.0
'2020-04-12',20.0
'2020-04-13',22.0
'2020-04-14',25.0
'2020-04-15',26.0
'2020-04-16',26.0
'2020-04-17',28.0
'2020-04-18',30.0
'2020-04-19',33.0
'2020-04-20',32.0
'2020-04-21',33.0
'2020-04-22',34.0
'2020-04-23',39.0
'2020-04-24',39.0
'2020-04-25',41.0
'2020-04-26',42.0
'2020-04-27',42.0
'2020-04-28',42.0
'2020-04-29',44.0
'2020-04-30',47.0
'2020-05-01',52.0
'2020-05-02',53.0
'2020-05-03',53.0
'2020-05-04',55.0
'2020-05-05',61.0
'2020-05-06',56.0
'2020-05-07',62.0
'2020-05-08',64.0
'2020-05-09',68.0
'2020-05-10',68.0
'2020-05-11',71.0
'2020-05-12',69.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',4.0
'2020-04-19',4.0
'2020-04-20',4.0
'2020-04-21',4.0
'2020-04-22',5.0
'2020-04-23',5.0
'2020-04-24',5.0
'2020-04-25',5.0
'2020-04-26',8.0
'2020-04-27',8.0
'2020-04-28',8.0
'2020-04-29',9.0
'2020-04-30',12.0
'2020-05-01',14.0
'2020-05-02',18.0
'2020-05-03',19.0
'2020-05-04',19.0
'2020-05-05',19.0
'2020-05-06',21.0
'2020-05-07',24.0
'2020-05-08',24.0
'2020-05-09',26.0
'2020-05-10',26.0
'2020-05-11',26.0
'2020-05-12',27.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',10.0
'2020-05-02',11.0
'2020-05-03',11.0
'2020-05-04',11.0
'2020-05-05',11.0
'2020-05-06',14.0
'2020-05-07',14.0
'2020-05-08',15.0
'2020-05-09',15.0
'2020-05-10',15.0
'2020-05-11',15.0
'2020-05-12',16.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',6.0
'2020-05-02',6.0
'2020-05-03',8.0
'2020-05-04',8.0
'2020-05-05',10.0
'2020-05-06',8.0
'2020-05-07',8.0
'2020-05-08',8.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',8.0
'2020-05-12',8.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',3.0
'2020-05-12',2.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',3.0
'2020-04-30',4.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',4.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',4.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',3.0
'2020-05-12',4.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-03-13',1.0
'2020-03-14',1.0
'2020-03-15',1.0
'2020-03-16',1.0
'2020-03-17',1.0
'2020-03-18',1.0
'2020-03-19',1.0
'2020-03-20',1.0
'2020-03-21',6.0
'2020-03-22',9.0
'2020-03-23',13.0
'2020-03-24',13.0
'2020-03-25',14.0
'2020-03-26',19.0
'2020-03-27',28.0
'2020-03-28',45.0
'2020-03-29',68.0
'2020-03-30',77.0
'2020-03-31',82.0
'2020-04-01',92.0
'2020-04-02',105.0
'2020-04-03',176.0
'2020-04-04',212.0
'2020-04-05',242.0
'2020-04-06',246.0
'2020-04-07',254.0
'2020-04-08',261.0
'2020-04-09',261.0
'2020-04-10',263.0
'2020-04-11',289.0
'2020-04-12',302.0
'2020-04-13',339.0
'2020-04-14',376.0
'2020-04-15',399.0
'2020-04-16',400.0
'2020-04-17',463.0
'2020-04-18',516.0
'2020-04-19',531.0
'2020-04-20',595.0
'2020-04-21',608.0
'2020-04-22',646.0
'2020-04-23',708.0
'2020-04-24',754.0
'2020-04-25',781.0
'2020-04-26',825.0
'2020-04-27',832.0
'2020-04-28',857.0
'2020-04-29',1086.0
'2020-04-30',1177.0
'2020-05-01',1297.0
'2020-05-02',1366.0
'2020-05-03',1392.0
'2020-05-04',1421.0
'2020-05-05',1536.0
'2020-05-06',1574.0
'2020-05-07',1739.0
'2020-05-08',1821.0
'2020-05-09',1919.0
'2020-05-10',1928.0
'2020-05-11',1989.0
'2020-05-12',2033.0
