Data,CAAiL_Al
'2020-04-22',243.0
'2020-04-23',324.0
'2020-04-24',413.0
'2020-04-25',501.0
'2020-04-26',554.0
'2020-04-27',643.0
'2020-04-28',777.0
'2020-04-29',957.0
'2020-04-30',1044.0
'2020-05-01',1226.0
'2020-05-02',1372.0
'2020-05-03',1441.0
'2020-05-04',1538.0
'2020-05-05',1606.0
'2020-05-06',1703.0
'2020-05-07',1867.0
'2020-05-08',2033.0
'2020-05-09',2172.0
'2020-05-10',2258.0
'2020-05-11',2343.0
'2020-05-12',2580.0
