Data,CAMiA_Al
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',7.0
'2020-05-07',9.0
'2020-05-08',10.0
'2020-05-09',17.0
'2020-05-10',17.0
'2020-05-11',17.0
'2020-05-12',20.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',6.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',6.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',10.0
'2020-05-11',10.0
'2020-05-12',11.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',14.0
'2020-05-10',14.0
'2020-05-11',14.0
'2020-05-12',18.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',5.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',11.0
'2020-05-11',11.0
'2020-05-12',11.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',7.0
'2020-04-29',7.0
'2020-04-30',7.0
'2020-05-01',7.0
'2020-05-02',7.0
'2020-05-03',14.0
'2020-05-04',14.0
'2020-05-05',14.0
'2020-05-06',14.0
'2020-05-07',14.0
'2020-05-08',33.0
'2020-05-09',33.0
'2020-05-10',33.0
'2020-05-11',33.0
'2020-05-12',33.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',10.0
'2020-05-10',10.0
'2020-05-11',10.0
'2020-05-12',12.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',3.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',6.0
'2020-05-08',7.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',14.0
'2020-05-12',14.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',2.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',7.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',8.0
'2020-05-08',15.0
'2020-05-09',19.0
'2020-05-10',23.0
'2020-05-11',21.0
'2020-05-12',20.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-04-29',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',7.0
'2020-05-12',8.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-04',1.0
'2020-04-05',2.0
'2020-04-06',2.0
'2020-04-07',4.0
'2020-04-08',6.0
'2020-04-09',9.0
'2020-04-10',10.0
'2020-04-11',14.0
'2020-04-12',14.0
'2020-04-13',14.0
'2020-04-14',16.0
'2020-04-15',20.0
'2020-04-16',22.0
'2020-04-17',26.0
'2020-04-18',32.0
'2020-04-19',39.0
'2020-04-20',43.0
'2020-04-21',45.0
'2020-04-22',51.0
'2020-04-23',57.0
'2020-04-24',63.0
'2020-04-25',65.0
'2020-04-26',69.0
'2020-04-27',74.0
'2020-04-28',80.0
'2020-04-29',88.0
'2020-04-30',96.0
'2020-05-01',102.0
'2020-05-02',106.0
'2020-05-03',114.0
'2020-05-04',123.0
'2020-05-05',128.0
'2020-05-06',145.0
'2020-05-07',151.0
'2020-05-08',159.0
'2020-05-09',173.0
'2020-05-10',187.0
'2020-05-11',191.0
'2020-05-12',203.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',5.0
'2020-04-30',6.0
'2020-05-01',5.0
'2020-05-02',6.0
'2020-05-03',12.0
'2020-05-04',12.0
'2020-05-05',23.0
'2020-05-06',26.0
'2020-05-07',26.0
'2020-05-08',26.0
'2020-05-09',82.0
'2020-05-10',85.0
'2020-05-11',103.0
'2020-05-12',100.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',4.0
'2020-05-12',5.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',3.0
'2020-05-09',4.0
'2020-05-10',10.0
'2020-05-11',10.0
'2020-05-12',14.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',9.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',3.0
'2020-05-08',4.0
'2020-05-09',10.0
'2020-05-10',12.0
'2020-05-11',12.0
'2020-05-12',12.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',6.0
'2020-05-02',17.0
'2020-05-03',25.0
'2020-05-04',30.0
'2020-05-05',43.0
'2020-05-06',52.0
'2020-05-07',62.0
'2020-05-08',77.0
'2020-05-09',93.0
'2020-05-10',103.0
'2020-05-11',103.0
'2020-05-12',103.0
'2020-05-07',2.0
'2020-05-08',4.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',10.0
'2020-05-12',11.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',7.0
'2020-05-11',7.0
'2020-05-12',7.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',8.0
'2020-05-11',8.0
'2020-05-12',8.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',3.0
'2020-05-12',5.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',2.0
'2020-04-30',3.0
'2020-05-01',8.0
'2020-05-02',9.0
'2020-05-03',9.0
'2020-05-04',9.0
'2020-05-05',9.0
'2020-05-06',18.0
'2020-05-07',19.0
'2020-05-08',20.0
'2020-05-09',50.0
'2020-05-10',50.0
'2020-05-11',55.0
'2020-05-12',63.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',4.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',8.0
'2020-05-01',8.0
'2020-05-02',8.0
'2020-05-03',8.0
'2020-05-04',8.0
'2020-05-05',8.0
'2020-05-06',9.0
'2020-05-07',14.0
'2020-05-08',16.0
'2020-05-09',16.0
'2020-05-10',15.0
'2020-05-11',16.0
'2020-05-12',17.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',3.0
'2020-05-12',5.0
'2020-05-08',3.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-04-09',1.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',3.0
'2020-04-14',3.0
'2020-04-15',3.0
'2020-04-16',3.0
'2020-04-17',3.0
'2020-04-18',4.0
'2020-04-19',4.0
'2020-04-20',4.0
'2020-04-21',5.0
'2020-04-22',7.0
'2020-04-23',8.0
'2020-04-24',10.0
'2020-04-25',11.0
'2020-04-26',11.0
'2020-04-27',11.0
'2020-04-28',11.0
'2020-04-29',11.0
'2020-04-30',12.0
'2020-05-01',13.0
'2020-05-02',13.0
'2020-05-03',14.0
'2020-05-04',14.0
'2020-05-05',14.0
'2020-05-06',19.0
'2020-05-07',20.0
'2020-05-08',20.0
'2020-05-09',25.0
'2020-05-10',26.0
'2020-05-11',28.0
'2020-05-12',28.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',6.0
'2020-04-25',8.0
'2020-04-26',9.0
'2020-04-27',10.0
'2020-04-28',10.0
'2020-04-29',10.0
'2020-04-30',10.0
'2020-05-01',10.0
'2020-05-02',11.0
'2020-05-03',15.0
'2020-05-04',15.0
'2020-05-05',15.0
'2020-05-06',17.0
'2020-05-07',17.0
'2020-05-08',22.0
'2020-05-09',23.0
'2020-05-10',23.0
'2020-05-11',27.0
'2020-05-12',27.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',20.0
'2020-05-09',19.0
'2020-05-10',37.0
'2020-05-11',37.0
'2020-05-12',37.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',3.0
'2020-04-25',4.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',12.0
'2020-05-01',12.0
'2020-05-02',19.0
'2020-05-03',24.0
'2020-05-04',27.0
'2020-05-05',28.0
'2020-05-06',30.0
'2020-05-07',37.0
'2020-05-08',46.0
'2020-05-09',55.0
'2020-05-10',74.0
'2020-05-11',78.0
'2020-05-12',73.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',4.0
'2020-05-11',11.0
'2020-05-12',11.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',8.0
'2020-05-08',8.0
'2020-05-09',8.0
'2020-05-10',9.0
'2020-05-11',13.0
'2020-05-12',14.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',3.0
'2020-04-16',3.0
'2020-04-17',3.0
'2020-04-18',5.0
'2020-04-19',5.0
'2020-04-20',5.0
'2020-04-21',5.0
'2020-04-22',5.0
'2020-04-23',6.0
'2020-04-24',13.0
'2020-04-25',14.0
'2020-04-26',14.0
'2020-04-27',14.0
'2020-04-28',14.0
'2020-04-29',15.0
'2020-04-30',25.0
'2020-05-01',25.0
'2020-05-02',25.0
'2020-05-03',25.0
'2020-05-04',30.0
'2020-05-05',51.0
'2020-05-06',56.0
'2020-05-07',67.0
'2020-05-08',67.0
'2020-05-09',74.0
'2020-05-10',76.0
'2020-05-11',77.0
'2020-05-12',77.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-09',16.0
'2020-05-10',16.0
'2020-05-11',18.0
'2020-05-12',20.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',7.0
'2020-05-12',7.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',16.0
'2020-05-11',16.0
'2020-05-12',16.0
'2020-05-09',14.0
'2020-05-10',14.0
'2020-05-11',14.0
'2020-05-12',14.0
'2020-05-10',11.0
'2020-05-11',18.0
'2020-05-12',19.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',4.0
'2020-05-07',6.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',7.0
'2020-05-12',7.0
'2020-05-03',1.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',7.0
'2020-05-07',7.0
'2020-05-08',10.0
'2020-05-09',10.0
'2020-05-10',10.0
'2020-05-11',10.0
'2020-05-12',10.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',5.0
'2020-04-04',2.0
'2020-04-05',3.0
'2020-04-06',5.0
'2020-04-07',8.0
'2020-04-08',10.0
'2020-04-09',21.0
'2020-04-10',22.0
'2020-04-11',23.0
'2020-04-12',26.0
'2020-04-13',28.0
'2020-04-14',35.0
'2020-04-15',38.0
'2020-04-16',47.0
'2020-04-17',55.0
'2020-04-18',77.0
'2020-04-19',90.0
'2020-04-20',102.0
'2020-04-21',105.0
'2020-04-22',111.0
'2020-04-23',120.0
'2020-04-24',126.0
'2020-04-25',132.0
'2020-04-26',135.0
'2020-04-27',137.0
'2020-04-28',146.0
'2020-04-29',167.0
'2020-04-30',188.0
'2020-05-01',205.0
'2020-05-02',210.0
'2020-05-03',217.0
'2020-05-04',229.0
'2020-05-05',236.0
'2020-05-06',260.0
'2020-05-07',268.0
'2020-05-08',284.0
'2020-05-09',309.0
'2020-05-10',373.0
'2020-05-11',388.0
'2020-05-12',392.0
'2020-03-28',13.0
'2020-03-29',15.0
'2020-03-30',22.0
'2020-03-31',29.0
'2020-04-01',52.0
'2020-04-02',68.0
'2020-04-03',78.0
'2020-04-04',82.0
'2020-04-05',86.0
'2020-04-06',121.0
'2020-04-07',152.0
'2020-04-08',203.0
'2020-04-09',228.0
'2020-04-10',247.0
'2020-04-11',288.0
'2020-04-12',333.0
'2020-04-13',369.0
'2020-04-14',392.0
'2020-04-15',533.0
'2020-04-16',582.0
'2020-04-17',664.0
'2020-04-18',862.0
'2020-04-19',990.0
'2020-04-20',1075.0
'2020-04-21',1132.0
'2020-04-22',1300.0
'2020-04-23',1417.0
'2020-04-24',1567.0
'2020-04-25',1668.0
'2020-04-26',1754.0
'2020-04-27',1894.0
'2020-04-28',1977.0
'2020-04-29',2149.0
'2020-04-30',2432.0
'2020-05-01',2671.0
'2020-05-02',2808.0
'2020-05-03',2899.0
'2020-05-04',2963.0
'2020-05-05',3088.0
'2020-05-06',3368.0
'2020-05-07',3531.0
'2020-05-08',3745.0
'2020-05-09',4008.0
'2020-05-10',4274.0
'2020-05-11',4616.0
'2020-05-12',4780.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',20.0
'2020-05-07',20.0
'2020-05-08',32.0
'2020-05-09',32.0
'2020-05-10',32.0
'2020-05-11',32.0
'2020-05-12',32.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',8.0
'2020-05-11',8.0
'2020-05-12',8.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-29',1.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',10.0
'2020-05-11',10.0
'2020-05-12',12.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',5.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-05-09',3.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-04-05',2.0
'2020-04-06',2.0
'2020-04-07',2.0
'2020-04-08',2.0
'2020-04-09',2.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',3.0
'2020-04-18',4.0
'2020-04-19',4.0
'2020-04-20',4.0
'2020-04-21',9.0
'2020-04-22',9.0
'2020-04-23',9.0
'2020-04-24',9.0
'2020-04-25',11.0
'2020-04-26',13.0
'2020-04-27',16.0
'2020-04-28',16.0
'2020-04-29',16.0
'2020-04-30',16.0
'2020-05-01',16.0
'2020-05-02',19.0
'2020-05-03',22.0
'2020-05-04',26.0
'2020-05-05',26.0
'2020-05-06',31.0
'2020-05-07',35.0
'2020-05-08',35.0
'2020-05-09',43.0
'2020-05-10',50.0
'2020-05-11',58.0
'2020-05-12',58.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',3.0
'2020-04-30',11.0
'2020-05-01',11.0
'2020-05-02',12.0
'2020-05-03',14.0
'2020-05-04',14.0
'2020-05-05',20.0
'2020-05-06',23.0
'2020-05-07',23.0
'2020-05-08',25.0
'2020-05-09',29.0
'2020-05-10',29.0
'2020-05-11',29.0
'2020-05-12',29.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',3.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',9.0
'2020-05-07',10.0
'2020-05-08',10.0
'2020-05-09',10.0
'2020-05-10',15.0
'2020-05-11',15.0
'2020-05-12',15.0
'2020-05-08',16.0
'2020-05-09',16.0
'2020-05-10',36.0
'2020-05-11',36.0
'2020-05-12',37.0
'2020-04-30',1.0
'2020-05-01',2.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',6.0
'2020-05-05',8.0
'2020-05-06',8.0
'2020-05-07',9.0
'2020-05-08',11.0
'2020-05-09',16.0
'2020-05-10',21.0
'2020-05-11',22.0
'2020-05-12',27.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',3.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',8.0
'2020-05-07',8.0
'2020-05-08',9.0
'2020-05-09',18.0
'2020-05-10',18.0
'2020-05-11',18.0
'2020-05-12',55.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',4.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',5.0
'2020-05-02',6.0
'2020-05-03',7.0
'2020-05-04',7.0
'2020-05-05',8.0
'2020-05-06',10.0
'2020-05-07',10.0
'2020-05-08',10.0
'2020-05-09',13.0
'2020-05-10',13.0
'2020-05-11',16.0
'2020-05-12',19.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',9.0
'2020-05-03',9.0
