Data,CACiE_Al
'2020-04-28',12.0
'2020-04-29',15.0
'2020-04-30',15.0
'2020-05-01',16.0
'2020-05-02',16.0
'2020-05-03',16.0
'2020-05-04',22.0
'2020-05-05',22.0
'2020-05-06',24.0
'2020-05-07',30.0
'2020-05-08',30.0
'2020-05-09',30.0
'2020-05-10',30.0
'2020-05-11',32.0
'2020-05-12',33.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',4.0
'2020-04-16',4.0
'2020-04-17',4.0
'2020-04-18',5.0
'2020-04-19',5.0
'2020-04-20',5.0
'2020-04-21',4.0
'2020-04-22',4.0
'2020-04-23',4.0
'2020-04-24',4.0
'2020-04-25',5.0
'2020-04-26',7.0
'2020-04-27',8.0
'2020-04-28',8.0
'2020-04-29',8.0
'2020-04-30',8.0
'2020-05-01',8.0
'2020-05-02',8.0
'2020-05-03',9.0
'2020-05-04',17.0
'2020-05-05',16.0
'2020-05-06',17.0
'2020-05-07',15.0
'2020-05-08',16.0
'2020-05-09',16.0
'2020-05-10',17.0
'2020-05-11',17.0
'2020-05-12',21.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',13.0
'2020-05-08',13.0
'2020-05-09',13.0
'2020-05-10',15.0
'2020-05-11',23.0
'2020-05-12',24.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',6.0
'2020-05-12',9.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',2.0
'2020-04-07',2.0
'2020-04-08',3.0
'2020-04-09',3.0
'2020-04-10',3.0
'2020-04-11',4.0
'2020-04-12',5.0
'2020-04-13',7.0
'2020-04-14',8.0
'2020-04-15',10.0
'2020-04-16',15.0
'2020-04-17',20.0
'2020-04-18',27.0
'2020-04-19',29.0
'2020-04-20',30.0
'2020-04-21',39.0
'2020-04-22',41.0
'2020-04-23',44.0
'2020-04-24',38.0
'2020-04-25',39.0
'2020-04-26',41.0
'2020-04-27',48.0
'2020-04-28',50.0
'2020-04-29',64.0
'2020-04-30',66.0
'2020-05-01',77.0
'2020-05-02',79.0
'2020-05-03',78.0
'2020-05-04',107.0
'2020-05-05',115.0
'2020-05-06',143.0
'2020-05-07',188.0
'2020-05-08',210.0
'2020-05-09',231.0
'2020-05-10',234.0
'2020-05-11',257.0
'2020-05-12',275.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',4.0
'2020-04-11',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',5.0
'2020-03-28',304.0
'2020-03-29',338.0
'2020-03-30',353.0
'2020-03-31',371.0
'2020-04-01',413.0
'2020-04-02',507.0
'2020-04-03',600.0
'2020-04-04',680.0
'2020-04-05',744.0
'2020-04-06',925.0
'2020-04-07',1053.0
'2020-04-08',1213.0
'2020-04-09',1283.0
'2020-04-10',1366.0
'2020-04-11',1457.0
'2020-04-12',1529.0
'2020-04-13',1686.0
'2020-04-14',1794.0
'2020-04-15',1946.0
'2020-04-16',2041.0
'2020-04-17',2263.0
'2020-04-18',2562.0
'2020-04-19',2688.0
'2020-04-20',2840.0
'2020-04-21',3018.0
'2020-04-22',3303.0
'2020-04-23',3791.0
'2020-04-24',4063.0
'2020-04-25',4541.0
'2020-04-26',4852.0
'2020-04-27',5280.0
'2020-04-28',5481.0
'2020-04-29',5712.0
'2020-04-30',5875.0
'2020-05-01',6083.0
'2020-05-02',6353.0
'2020-05-03',6417.0
'2020-05-04',8198.0
'2020-05-05',8509.0
'2020-05-06',9061.0
'2020-05-07',9669.0
'2020-05-08',10348.0
'2020-05-09',10995.0
'2020-05-10',11556.0
'2020-05-11',11935.0
'2020-05-12',12484.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',2.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',7.0
'2020-05-08',8.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',8.0
'2020-05-12',9.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',3.0
'2020-05-08',4.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',2.0
'2020-04-22',4.0
'2020-04-23',4.0
'2020-04-24',4.0
'2020-04-25',4.0
'2020-04-26',5.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',5.0
'2020-05-02',5.0
'2020-05-03',5.0
'2020-05-04',7.0
'2020-05-05',7.0
'2020-05-06',8.0
'2020-05-07',9.0
'2020-05-08',9.0
'2020-05-09',10.0
'2020-05-10',10.0
'2020-05-11',11.0
'2020-05-12',11.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',5.0
'2020-05-02',5.0
'2020-05-03',6.0
'2020-05-04',7.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',11.0
'2020-05-08',11.0
'2020-05-09',12.0
'2020-05-10',12.0
'2020-05-11',14.0
'2020-05-12',15.0
'2020-04-06',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',4.0
'2020-04-25',5.0
'2020-04-26',5.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',7.0
'2020-05-02',7.0
'2020-05-03',7.0
'2020-05-04',8.0
'2020-05-05',8.0
'2020-05-06',8.0
'2020-05-07',17.0
'2020-05-08',17.0
'2020-05-09',17.0
'2020-05-10',17.0
'2020-05-11',20.0
'2020-05-12',22.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',16.0
'2020-05-05',17.0
'2020-05-06',17.0
'2020-05-07',27.0
'2020-05-08',27.0
'2020-05-09',27.0
'2020-05-10',28.0
'2020-05-11',29.0
'2020-05-12',32.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',5.0
'2020-05-02',5.0
'2020-05-03',5.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',6.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',9.0
'2020-05-12',11.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',6.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',6.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-04',4.0
'2020-04-05',4.0
'2020-04-06',7.0
'2020-04-07',6.0
'2020-04-08',6.0
'2020-04-09',7.0
'2020-04-10',7.0
'2020-04-11',7.0
'2020-04-12',7.0
'2020-04-13',7.0
'2020-04-14',7.0
'2020-04-15',10.0
'2020-04-16',10.0
'2020-04-17',11.0
'2020-04-18',12.0
'2020-04-19',19.0
'2020-04-20',18.0
'2020-04-21',21.0
'2020-04-22',21.0
'2020-04-23',21.0
'2020-04-24',22.0
'2020-04-25',23.0
'2020-04-26',30.0
'2020-04-27',38.0
'2020-04-28',38.0
'2020-04-29',36.0
'2020-04-30',37.0
'2020-05-01',39.0
'2020-05-02',40.0
'2020-05-03',40.0
'2020-05-04',69.0
'2020-05-05',76.0
'2020-05-06',76.0
'2020-05-07',92.0
'2020-05-08',98.0
'2020-05-09',107.0
'2020-05-10',125.0
'2020-05-11',131.0
'2020-05-12',131.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',1.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',3.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',11.0
'2020-05-05',11.0
'2020-05-06',18.0
'2020-05-07',25.0
'2020-05-08',26.0
'2020-05-09',27.0
'2020-05-10',27.0
'2020-05-11',30.0
'2020-05-12',30.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',2.0
'2020-04-15',3.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',8.0
'2020-05-02',8.0
'2020-05-03',8.0
'2020-05-04',8.0
'2020-05-05',8.0
'2020-05-06',9.0
'2020-05-07',16.0
'2020-05-08',16.0
'2020-05-09',15.0
'2020-05-10',15.0
'2020-05-11',21.0
'2020-05-12',21.0
'2020-04-02',2.0
'2020-04-03',2.0
'2020-04-04',2.0
'2020-04-05',2.0
'2020-04-06',3.0
'2020-04-07',3.0
'2020-04-08',3.0
'2020-04-09',3.0
'2020-04-10',3.0
'2020-04-11',3.0
'2020-04-12',3.0
'2020-04-13',3.0
'2020-04-14',3.0
'2020-04-15',3.0
'2020-04-16',3.0
'2020-04-17',3.0
'2020-04-18',3.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',4.0
'2020-04-22',5.0
'2020-04-23',5.0
'2020-04-24',5.0
'2020-04-25',5.0
'2020-04-26',5.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',6.0
'2020-05-02',6.0
'2020-05-03',6.0
'2020-05-04',6.0
'2020-05-05',6.0
'2020-05-06',6.0
'2020-05-07',9.0
'2020-05-08',9.0
'2020-05-09',9.0
'2020-05-10',11.0
'2020-05-11',11.0
'2020-05-12',12.0
'2020-04-06',2.0
'2020-04-07',2.0
'2020-04-08',5.0
'2020-04-09',5.0
'2020-04-10',5.0
'2020-04-11',7.0
'2020-04-12',8.0
'2020-04-13',7.0
'2020-04-14',7.0
'2020-04-15',8.0
'2020-04-16',7.0
'2020-04-17',9.0
'2020-04-18',9.0
'2020-04-19',9.0
'2020-04-20',9.0
'2020-04-21',11.0
'2020-04-22',18.0
'2020-04-23',18.0
'2020-04-24',20.0
'2020-04-25',22.0
'2020-04-26',24.0
'2020-04-27',27.0
'2020-04-28',27.0
'2020-04-29',28.0
'2020-04-30',29.0
'2020-05-01',31.0
'2020-05-02',30.0
'2020-05-03',30.0
'2020-05-04',33.0
'2020-05-05',36.0
'2020-05-06',40.0
'2020-05-07',45.0
'2020-05-08',50.0
'2020-05-09',53.0
'2020-05-10',54.0
'2020-05-11',66.0
'2020-05-12',67.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',3.0
'2020-04-18',3.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',3.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',8.0
'2020-05-08',8.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',10.0
'2020-05-12',10.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',3.0
'2020-05-05',4.0
'2020-05-06',5.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',8.0
'2020-05-11',10.0
'2020-05-12',10.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',2.0
'2020-04-09',2.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',5.0
'2020-05-02',5.0
'2020-05-03',5.0
'2020-05-04',6.0
'2020-05-05',6.0
'2020-05-06',6.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',5.0
'2020-05-07',8.0
'2020-05-08',8.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',9.0
'2020-05-12',9.0
'2020-04-26',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',9.0
'2020-05-08',22.0
'2020-05-09',22.0
'2020-05-10',22.0
'2020-05-11',25.0
'2020-05-12',25.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-07',1.0
'2020-04-08',3.0
'2020-04-09',4.0
'2020-04-10',3.0
'2020-04-11',3.0
'2020-04-12',4.0
'2020-04-13',5.0
'2020-04-14',5.0
'2020-04-15',8.0
'2020-04-16',5.0
'2020-04-17',5.0
'2020-04-18',5.0
'2020-04-19',6.0
'2020-04-20',6.0
'2020-04-21',15.0
'2020-04-22',19.0
'2020-04-23',21.0
'2020-04-24',31.0
'2020-04-25',31.0
'2020-04-26',40.0
'2020-04-27',41.0
'2020-04-28',41.0
'2020-04-29',45.0
'2020-04-30',47.0
'2020-05-01',49.0
'2020-05-02',49.0
'2020-05-03',50.0
'2020-05-04',68.0
'2020-05-05',76.0
'2020-05-06',77.0
'2020-05-07',79.0
'2020-05-08',110.0
'2020-05-09',116.0
'2020-05-10',118.0
'2020-05-11',121.0
'2020-05-12',122.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',2.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',4.0
'2020-05-07',15.0
'2020-05-08',15.0
'2020-05-09',17.0
'2020-05-10',18.0
'2020-05-11',27.0
'2020-05-12',27.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',1.0
'2020-04-17',2.0
'2020-04-18',4.0
'2020-04-19',5.0
'2020-04-20',5.0
'2020-04-21',5.0
'2020-04-22',5.0
'2020-04-23',5.0
'2020-04-24',7.0
'2020-04-25',18.0
'2020-04-26',19.0
'2020-04-27',23.0
'2020-04-28',23.0
'2020-04-29',42.0
'2020-04-30',43.0
'2020-05-01',58.0
'2020-05-02',59.0
'2020-05-03',59.0
'2020-05-04',87.0
'2020-05-05',89.0
'2020-05-06',103.0
'2020-05-07',152.0
'2020-05-08',186.0
'2020-05-09',193.0
'2020-05-10',201.0
'2020-05-11',255.0
'2020-05-12',269.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',7.0
'2020-05-02',6.0
'2020-05-03',6.0
'2020-05-04',7.0
'2020-05-05',7.0
'2020-05-06',8.0
'2020-05-07',13.0
'2020-05-08',14.0
'2020-05-09',16.0
'2020-05-10',17.0
'2020-05-11',20.0
'2020-05-12',23.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',3.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',5.0
'2020-05-02',5.0
'2020-05-03',5.0
'2020-05-04',8.0
'2020-05-05',8.0
'2020-05-06',14.0
'2020-05-07',28.0
'2020-05-08',32.0
'2020-05-09',32.0
'2020-05-10',33.0
'2020-05-11',34.0
'2020-05-12',34.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',3.0
'2020-05-03',3.0
